Data,VALE3
2000-01-31,1.4713960886001587
2000-02-29,1.2506862878799438
2000-03-31,1.2261629104614258
2000-04-30,1.2261629104614258
2000-05-31,1.2819534540176392
2000-06-30,1.3791269063949585
2000-07-31,1.3641066551208496
2000-08-31,1.4162184000015259
2000-09-30,1.2890037298202515
2000-10-31,1.348779320716858
2000-11-30,1.1342006921768188
2000-12-31,1.4254150390625
2001-01-31,1.563358187675476
2001-02-28,1.5020495653152466
2001-03-31,1.5173770189285278
2001-04-30,1.4867228269577026
2001-05-31,1.586348533630371
2001-06-30,1.6246662139892578
2001-07-31,1.6185357570648193
2001-08-31,1.572554349899292
2001-09-30,1.548030972480774
2001-10-31,1.6243599653244019
2001-11-30,1.5173770189285278
2001-12-31,1.5940120220184326
2002-01-31,1.569488763809204
2002-02-28,1.891356348991394
2002-03-31,1.9465333223342896
2002-04-30,1.974122405052185
2002-05-31,2.3294034004211426
2002-06-30,2.381821393966675
2002-07-31,2.5442888736724854
2002-08-31,2.299055576324463
2002-09-30,2.6546428203582764
2002-10-31,2.9427921772003174
2002-11-30,3.0654079914093018
2002-12-31,3.1543052196502686
2003-01-31,2.9673142433166504
2003-02-28,3.1880240440368652
2003-03-31,2.7895209789276123
2003-04-30,2.5133278369903564
2003-05-31,2.697558879852295
2003-06-30,2.5749425888061523
2003-07-31,3.1543052196502686
2003-08-31,3.396472215652466
2003-09-30,3.5868330001831055
2003-10-31,3.9850292205810547
2003-11-30,3.954375743865967
2003-12-31,5.195867538452148
2004-01-31,4.7820353507995605
2004-02-29,5.165211200714111
2004-03-31,4.889631271362305
2004-04-30,3.994532823562622
2004-05-31,4.8160624504089355
2004-06-30,4.460169315338135
2004-07-31,5.024204730987549
2004-08-31,5.149885177612305
2004-09-30,5.9039764404296875
2004-10-31,5.609697341918945
2004-11-30,6.124686241149902
2004-12-31,6.943149566650391
2005-01-31,7.283409595489502
2005-02-28,8.32258129119873
2005-03-31,7.816788673400879
2005-04-30,6.299412727355957
2005-05-31,6.432758331298828
2005-06-30,6.372982978820801
2005-07-31,7.21811580657959
2005-08-31,7.458137512207031
2005-09-30,9.104260444641113
2005-10-31,8.56811809539795
2005-11-30,8.800786018371582
2005-12-31,8.782393455505371
2006-01-31,10.409209251403809
2006-02-28,9.554877281188965
2006-03-31,9.711213111877441
2006-04-30,9.841797828674316
2006-05-31,9.69282054901123
2006-06-30,9.615571975708008
2006-07-31,9.297381401062012
2006-08-31,8.460525512695312
2006-09-30,8.616860389709473
2006-10-31,9.95950984954834
2006-11-30,10.983967781066895
2006-12-31,11.715991020202637
2007-01-31,13.07702922821045
2007-02-28,13.336363792419434
2007-03-31,14.033442497253418
2007-04-30,15.449652671813965
2007-05-31,16.005107879638672
2007-06-30,15.850616455078125
2007-07-31,17.06818962097168
2007-08-31,17.83699607849121
2007-09-30,22.788238525390625
2007-10-31,23.910179138183594
2007-11-30,23.064130783081055
2007-12-31,21.817123413085938
2008-01-31,19.065610885620117
2008-02-29,21.578018188476562
2008-03-31,22.25486183166504
2008-04-30,24.31906509399414
2008-05-31,24.270902633666992
2008-06-30,21.266216278076172
2008-07-31,17.53907012939453
2008-08-31,16.105268478393555
2008-09-30,13.54146671295166
2008-10-31,10.80047607421875
2008-11-30,10.47330379486084
2008-12-31,10.534171104431152
2009-01-31,12.364048957824707
2009-02-28,11.743948936462402
2009-03-31,11.793404579162598
2009-04-30,13.929607391357422
2009-05-31,14.6785888671875
2009-06-30,13.319604873657227
2009-07-31,14.304101943969727
2009-08-31,14.161259651184082
2009-09-30,15.902453422546387
2009-10-31,17.48406410217285
2009-11-30,19.13099479675293
2009-12-31,19.380769729614258
2010-01-31,19.08806800842285
2010-02-28,19.689083099365234
2010-03-31,22.303882598876953
2010-04-30,20.870332717895508
2010-05-31,19.65191078186035
2010-06-30,17.156124114990234
2010-07-31,19.082006454467773
2010-08-31,18.425636291503906
2010-09-30,20.55590057373047
2010-10-31,21.066850662231445
2010-11-30,21.051128387451172
2010-12-31,21.74680519104004
2011-01-31,22.555002212524414
2011-02-28,22.246780395507812
2011-03-31,21.081098556518555
2011-04-30,20.71044921875
2011-05-31,20.09461212158203
2011-06-30,19.790693283081055
2011-07-31,20.046621322631836
2011-08-31,18.30620765686035
2011-09-30,17.427671432495117
2011-10-31,17.86080551147461
2011-11-30,17.01905632019043
2011-12-31,16.120088577270508
2012-01-31,18.265338897705078
2012-02-29,17.795429229736328
2012-03-31,17.529827117919922
2012-04-30,17.845335006713867
2012-05-31,15.746623039245605
2012-06-30,16.810644149780273
2012-07-31,15.562307357788086
2012-08-31,14.150595664978027
2012-09-30,15.285828590393066
2012-10-31,15.96470832824707
2012-11-30,16.028654098510742
2012-12-31,18.023712158203125
2013-01-31,17.162599563598633
2013-02-28,16.113910675048828
2013-03-31,14.9757080078125
2013-04-30,14.685568809509277
